days_from_shock,mean_cumret_icln,mean_cumret_xle
-10,0.0006998064479097729,-4.930273203183558e-05
-9,0.000609473929224037,-0.00030376495728740125
-8,0.001449874648358405,0.0005826172793091635
-7,0.0012437390162177387,0.0008658196582966217
-6,-2.1155858111222335e-05,-0.0008354523276609425
-5,-0.0003923775231115051,-0.0024768696120835115
-4,-0.0022155611332593415,-0.0028834296116249515
-3,-0.0028618500898293635,-0.0026103941806724495
-2,-0.002988878594154871,-0.001388143005547886
-1,-0.0034867126268849674,-0.0022215845359432125
0,-0.003558811317637881,-0.0031545589077774053
1,-0.0018936936611716384,-0.0028556665186698534
2,-0.00020332089654776715,-0.0011467904759777756
3,0.0009002214610378456,0.0009475858330775496
4,0.003599955339918449,0.00246269885855485
5,0.005423300347963566,0.003959834856418952
6,0.006974596447206545,0.005311996859770453
7,0.008458890142483631,0.006095781274790629
8,0.010656326214188362,0.008985701320393396
9,0.010900375207668522,0.009119614232244147
10,0.011131826640002871,0.01037863868730086
